ID,TITLE,ORIGINAL_TITLE,FABRICATION_TYPE,LABEL,SOURCE,DATE,CATEGORY
22,"Hours after Chinese President Xi Jinping left for Beijing after concluding his two-day state visit to Nepal, the country's politics was back to the hu","Hours after Chinese President Xi Jinping left for Beijing after concluding his two-day state visit to Nepal, the country's politics was back to the hu",none,TRUE,KathmanduPost,2019-10-15,Politics
23,"House meet put off till 3 pm tomorrow, contradicting earlier statements",House meet put off till 3 pm tomorrow,entity_swap,Fake,Generated,2024-08-08,POLITICS
24,House passes Citizenship Bill sent back by President Bhandari as it is,House passes Citizenship Bill sent back by President Bhandari as it is,none,TRUE,Setopati,8/20/2022,Political
25,"CJ Rana sees need for separate branch of jurisprudence on pandemic justice, contradicting earlier statements",CJ Rana sees need for separate branch of jurisprudence on pandemic justice,entity_swap,Fake,Generated,2020-05-08,Politics
26,Leader Nepal leaves for Bangladesh: CPN (UML) leader and former Prime Minister Madhav Kumar Nepal today left for Bangladesh to participate in a two-day meeting organized by Bangladesh Labour Party.,Leader Nepal leaves for Bangladesh: CPN (UML) leader and former Prime Minister Madhav Kumar Nepal today left for Bangladesh to participate in a two-day meeting organized by Bangladesh Labour Party.,none,TRUE,Republica,2024-08-08,POLITICS
27,"Postponing polls would be a historic blunder, contradicting earlier statements",Postponing polls would be a historic blunder,entity_swap,Fake,Generated,2024-08-08,POLITICS
28,"Transport entrepreneurs' 'monopoly' riles lawmakers: Lawmakers, speaking at a meeting of the Legislature-Parliament on Tuesday, drew the government's attention towards inconveniences facing commuters ","Transport entrepreneurs' 'monopoly' riles lawmakers: Lawmakers, speaking at a meeting of the Legislature-Parliament on Tuesday, drew the government's attention towards inconveniences facing commuters on the eve of the festivals due to anomalies of transport entrepreneurs.",entity_swap,Fake,Generated,2024-08-08,POLITICS
29,Kim lost 20 kilograms but remains healthy raising questions about democratic process,Kim lost 20 kilograms but remains healthy,context_manipulation,Fake,Generated,10/29/2021,Political
30,CEC Thapaliya calls for public debate on Election Management Bill: Chief Election Commissioner (CEC) Dinesh Kumar Thapaliya has asked for a public debate on the draft of the Election Management Bill submitted to the Government of Nepal to be passed by the House as soon as possible.,CEC Thapaliya calls for public debate on Election Management Bill: Chief Election Commissioner (CEC) Dinesh Kumar Thapaliya has asked for a public debate on the draft of the Election Management Bill submitted to the Government of Nepal to be passed by the House as soon as possible.,none,TRUE,Republica,2024-08-08,POLITICS
31,"Govt should hold elections at any cost: Acharya: DANG Feb 10: Constitution expert Nilambar Acharya has opined for completing three-tier of elections within 11 months., contradicting earlier statements",Govt should hold elections at any cost: Acharya: DANG Feb 10: Constitution expert Nilambar Acharya has opined for completing three-tier of elections within 11 months.,causal_inversion,Fake,Generated,2024-08-08,POLITICS
32,North Korea's Kim at critical crossroads decade into rule,North Korea's Kim at critical crossroads decade into rule,none,TRUE,Setopati,12/13/2021,Political
33,"UDMF lawmakers boycott Parliament meeting, contradicting earlier statements",UDMF lawmakers boycott Parliament meeting,entity_swap,Fake,Generated,2024-08-08,POLITICS
34,"UML iterates bill withdrawal to hold polls, contradicting earlier statements",UML iterates bill withdrawal to hold polls,causal_inversion,Fake,Generated,2024-08-08,POLITICS
35,"Minister Ghising meets families of deceased at TU Teaching Hospital after oath (Pictures), contradicting earlier statements",Minister Ghising meets families of deceased at TU Teaching Hospital after oath (Pictures),entity_swap,Fake,Generated,9/15/2025,Political
36,UDMF to remind govt about its promises: United Democratic Madhesi Front (UDMF) has expressed dissatisfaction over the slow pace of the government in addressing their demands.,UDMF to remind govt about its promises: United Democratic Madhesi Front (UDMF) has expressed dissatisfaction over the slow pace of the government in addressing their demands.,none,TRUE,Republica,2024-08-08,POLITICS
37,Elections possible only with consent of all parties: Rana: Rastriya Prajatantra Party National Chairman Pashupati Shamsher Rana has said that the elections were not possible without the consent of all political parties.,Elections possible only with consent of all parties: Rana: Rastriya Prajatantra Party National Chairman Pashupati Shamsher Rana has said that the elections were not possible without the consent of all political parties.,none,TRUE,Republica,2024-08-08,POLITICS
38,"High Court judges sworn in: Newly appointed judges of the High Courts, today have taken oath of office and secrecy amid a function here in the Supreme Court.","High Court judges sworn in: Newly appointed judges of the High Courts, today have taken oath of office and secrecy amid a function here in the Supreme Court.",none,TRUE,Republica,2024-08-08,POLITICS
39,"Parliamentary Hearing Special Committee fails to decide Joshee's fate yet again, contradicting earlier statements",Parliamentary Hearing Special Committee fails to decide Joshee's fate yet again,causal_inversion,Fake,Generated,2018-07-30,Politics
40,"MCC does not have military component, says FM Lamichhane: Parliamentarians of the ruling Nepal Communist Party in the National Assembly held a meeting with Foreign Minister Pradeep Kumar Gyawali to en","MCC does not have military component, says FM Gyawali: Parliamentarians of the ruling Nepal Communist Party in the National Assembly held a meeting with Foreign Minister Pradeep Kumar Gyawali to enquire about the much-talked-about US-proposed Millennium Challenge Corporation 500 million grant.",entity_swap,Fake,Generated,2024-08-08,"POLITICS, Latest Updates"
41,"Putin to seek guarantees on Ukraine as invasion fears grow, contradicting earlier statements",Putin to seek guarantees on Ukraine as invasion fears grow,causal_inversion,Fake,Generated,12/5/2021,Political
42,Oli says Covid-19 vaccines shouldn't be used for profit-making,Oli says Covid-19 vaccines shouldn't be used for profit-making,none,TRUE,OnlineKhabar,2020-12-04,Politics
43,"Senior ruling party leaders, including Dahal, demand Oli's resignation: Leaders also sought proof from Oli about his claims that attempts were being made in Kathmandu and Delhi to unseat him., contrad","Senior ruling party leaders, including Dahal, demand Oli's resignation: Leaders also sought proof from Oli about his claims that attempts were being made in Kathmandu and Delhi to unseat him.",causal_inversion,Fake,Generated,2020-06-30,Politics
44,Parliament endorses govt's policies and programs amid obstruction by NC,Parliament endorses govt's policies and programs amid obstruction by NC,none,TRUE,Republica,2024-08-08,POLITICS
45,Regmi honored with Asia's Dignitary Man of the Year: Former Chairperson of Council of Ministers Khil Raj Regmi has been honored with the 'Asia's Dignitary Man of the Year' title by the US-based organi,"Regmi honored with Asia's Dignitary Man of the Year: Former Chairperson of Council of Ministers Khil Raj Regmi has been honored with the 'Asia's Dignitary Man of the Year' title by the US-based organization, We Care for Humanity (WCH).",entity_swap,Fake,Generated,2024-08-08,POLITICS
46,"MoFAGA asks local levels to stop big gatherings: As a part of government's precautionary measures against coronavirus, the Ministry of Federal Affairs and General Administration has asked all 753 loca","MoFAGA asks local levels to stop big gatherings: As a part of government's precautionary measures against coronavirus, the Ministry of Federal Affairs and General Administration has asked all 753 local levels not to organise and engage in major gatherings including feasts and celebrations.",context_manipulation,Fake,Generated,2024-08-08,"POLITICS, Latest Updates, Coronavirus"
47,NC office-bearers' meeting being held today: Nepali Congress (NC) office bearers meeting is being held today. The meeting is scheduled to be held at 1 PM.,NC office-bearers' meeting being held today: Nepali Congress (NC) office bearers meeting is being held today. The meeting is scheduled to be held at 1 PM.,none,TRUE,Republica,2024-08-08,POLITICS
48,NC decides to field President Thapa as PM candidate,NC decides to field President Thapa as PM candidate,none,TRUE,Setopati,1/23/2026,Political
49,Bimalendra Nidhi opts for PR candidacy,Bimalendra Nidhi opts for PR candidacy,none,TRUE,Setopati,9/4/2022,Political
50,"Revelation of details for CJ's graceful exit anticlimactic, justices find nothing significant in message, contradicting earlier statements","Revelation of details for CJ's graceful exit anticlimactic, justices find nothing significant in message",causal_inversion,Fake,Generated,11/6/2021,Political
51,CJ Rana's written response in petition against appointments at constitutional bodies after 6 months,CJ Rana's written response in petition against appointments at constitutional bodies after 6 months,none,TRUE,Setopati,8/9/2021,Political
52,"Nepal terminates lockdown until April 7, international flight suspension until April 15","Nepal extends lockdown until April 7, international flight suspension until April 15",entity_swap,Fake,Generated,2020-03-29,Politics
53,Nepal Pariwar Dal to sit in opposition,Nepal Pariwar Dal to sit in opposition,none,TRUE,Republica,2024-08-08,POLITICS
54,"Deputy Speaker Magar meets her Bangladeshi counterpart: Deputy Speaker of the House of Representatives of the Federal Parliament of Nepal, Indira Rana Magar had a meeting with the Deputy Speaker of the National Parliament of Bangladesh, Md Shamsul Haque Tuku at the latter's office on November 22.","Deputy Speaker Magar meets her Bangladeshi counterpart: Deputy Speaker of the House of Representatives of the Federal Parliament of Nepal, Indira Rana Magar had a meeting with the Deputy Speaker of the National Parliament of Bangladesh, Md Shamsul Haque Tuku at the latter's office on November 22.",none,TRUE,Republica,2024-08-08,POLITICS
55,Public holiday should be declared on National Unity Day: Minister KC: Minister for Urban Development Arjun Narshing KC has opined for declaring a public holiday on the occasion of National Unity Day: on Paush 27.,Public holiday should be declared on National Unity Day: Minister KC: Minister for Urban Development Arjun Narshing KC has opined for declaring a public holiday on the occasion of National Unity Day: on Paush 27.,none,TRUE,Republica,2024-08-08,POLITICS
56,UDMF-called bandh partially affects life in Tarai,UDMF-called bandh partially affects life in Tarai,none,TRUE,Republica,2024-08-08,POLITICS
57,"Deuba cancels India visit: KATHMANDU (REPUBLICA): Amid ongoing rift between the ruling and the opposition parties over Dr Govinda KC's demands, the president of the main opposition Nepali Congress, Sh","Deuba cancels India visit: KATHMANDU (REPUBLICA): Amid ongoing rift between the ruling and the opposition parties over Dr Govinda KC's demands, the president of the main opposition Nepali Congress, Sher Bahadur Deuba, has cancelled his seven-day visit to India.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
58,Ruling party's virtual meeting with the Chinese Communist Party draws widespread criticism for being ill-timed: Politicians say that such meetings at a time of heightened tensions between India and China will raise questions about Nepal's commitment to its own non-aligned foreign policy.,Ruling party's virtual meeting with the Chinese Communist Party draws widespread criticism for being ill-timed: Politicians say that such meetings at a time of heightened tensions between India and China will raise questions about Nepal's commitment to its own non-aligned foreign policy.,none,TRUE,KathmanduPost,2020-06-20,Politics
59,"SC revokes formation of Uddhav Thapa govt in Koshi, contradicting earlier statements",SC revokes formation of Uddhav Thapa govt in Koshi,causal_inversion,Fake,Generated,9/8/2023,Political
60,Oli calls Cabinet meeting coinciding with secretariat meeting as foreign interference concerns mount,Oli calls Cabinet meeting coinciding with secretariat meeting,context_manipulation,Fake,Generated,11/18/2020,Political
61,UML leads PR vote count with 26.71% votes amid calls for resignation,UML leads PR vote count with 26.71% votes,context_manipulation,Fake,Generated,12/2/2022,Political
62,MoHA recommends five technical SPs for promotion to SSP,MoHA recommends five technical SPs for promotion to SSP,none,TRUE,Republica,2024-08-08,POLITICS
63,Govt alert against anti-republic elements: Koirala: CPN (Unified Socialist) leader Dr Shashank Koirala has said the government is alert against those carrying out activities inimical to the republic.,Govt alert against anti-republic elements: Koirala: Nepali Congress leader Dr Shashank Koirala has said the government is alert against those carrying out activities inimical to the republic.,entity_swap,Fake,Generated,2024-08-08,POLITICS
64,"BishnuPoudel Shah leads Sthapit by 5,847 votes","Balen Shah leads Sthapit by 5,847 votes",entity_swap,Fake,Generated,5/17/2022,Political
65,"Second round of talks between govt and agitating Tharu group ends on positive note, contradicting earlier statements",Second round of talks between govt and agitating Tharu group ends on positive note,causal_inversion,Fake,Generated,2024-08-08,"POLITICS, Latest Updates"
66,Nepal PM assures testing 2% population for coronavirus,Nepal PM assures testing 2% population for coronavirus,none,TRUE,OnlineKhabar,2020-05-25,Politics
67,Pakistan asks India about missing ex-Pak army's status as foreign interference concerns mount,Pakistan asks India about missing ex-Pak army's status,context_manipulation,Fake,Generated,2024-08-08,POLITICS
68,"Panel to track progress in lawmaking, identify pending laws for constitution's full implementation","Panel to track progress in lawmaking, identify pending laws for constitution's full implementation",none,TRUE,KathmanduPost,2024-11-27,Politics
69,"Reject or not to reject: CPN-UML in a Hamletian dilemma over federalism: It seems that the agenda of federalism has become a burden which the main Opposition CPN-UML is no longer interested to keep carrying. UML Chairman and former Prime Minister KP Sharma Oli has, once again, said that federalism was not the original agenda of his party and that his party accepted the agenda of federalism hoping that it would solve the country's problems.","Reject or not to reject: CPN-UML in a Hamletian dilemma over federalism: It seems that the agenda of federalism has become a burden which the main Opposition CPN-UML is no longer interested to keep carrying. UML Chairman and former Prime Minister KP Sharma Oli has, once again, said that federalism was not the original agenda of his party and that his party accepted the agenda of federalism hoping that it would solve the country's problems.",none,TRUE,Republica,2024-08-08,"POLITICS, SPECIAL"
70,Brother of SC Justice who invalidated unification of UML and Maoist Center recommended as PSC chair,Brother of SC Justice who invalidated unification of UML and Maoist Center recommended as PSC chair,none,TRUE,Setopati,5/9/2021,Political
71,"Will return to work soon, says Oli","Will return to work soon, says Oli",none,TRUE,OnlineKhabar,2020-03-06,Politics
72,Oli demands formation of high level judicial commission to probe gold smuggling: CPN-UML Chairman KP Sharma Oli has demanded the formation of a high level judicial commission to investigate the 100 kg,Oli demands formation of high level judicial commission to probe gold smuggling: CPN-UML Chairman KP Sharma Oli has demanded the formation of a high level judicial commission to investigate the 100 kg gold smuggling case.,causal_inversion,Fake,Generated,2024-08-08,POLITICS
73,"UML, Maoist leaders start informal discussion to form government, contradicting earlier statements","UML, Maoist leaders start informal discussion to form government",causal_inversion,Fake,Generated,12/19/2022,Political
74,Ruling coalition wins all 3 National Assembly seats from Lumbini,Ruling coalition wins all 3 National Assembly seats from Lumbini,none,TRUE,Setopati,1/27/2022,Political
75,NC leaders assigned to pick candidates for upcoming by-polls,NC leaders assigned to pick candidates for upcoming by-polls,none,TRUE,Republica,2024-08-08,"POLITICS, Latest Updates"
76,"Vice President attends India's Republic Day function: Vice President Nanda Bahadur Pun attended a reception hosted by Ambassador of India to Nepal, Ranjit Rae, on the occasion of the 68th Republic Day","Vice President attends India's Republic Day function: Vice President Nanda Bahadur Pun attended a reception hosted by Ambassador of India to Nepal, Ranjit Rae, on the occasion of the 68th Republic Day of India, here today.",causal_inversion,Fake,Generated,2024-08-08,POLITICS
77,"Scuffle leaves five NC members injured, contradicting earlier statements",Scuffle leaves five NC members injured,causal_inversion,Fake,Generated,2024-08-08,POLITICS
78,Deuba upbeat on amendment: Nepali Congress (NC) President Sher Bahadur Deuba on Sunday said that constitution amendment bill would be endorsed through the parliament.,Deuba upbeat on amendment: Nepali Congress (NC) President Sher Bahadur Deuba on Sunday said that constitution amendment bill would be endorsed through the parliament.,none,TRUE,Republica,2024-08-08,POLITICS
79,Patan High Court stays Balen Shah's ban on Hindi movies,Patan High Court stays Balen Shah's ban on Hindi movies,none,TRUE,Setopati,6/22/2023,Political
80,"Won't let Prachanda government push forth Charter amendment, says CPN-UML","Won't let Prachanda government push forth Charter amendment, says CPN-UML",none,TRUE,OnlineKhabar,2017-01-08,Politics
81,"Swarnim Wagle guaranteed to win in Tanahun-1, contradicting earlier statements",Swarnim Wagle guaranteed to win in Tanahun-1,entity_swap,Fake,Generated,4/25/2023,Political
82,UN concerned about Saptari incident,UN concerned about Saptari incident,none,TRUE,Republica,2024-08-08,POLITICS
83,Govt drops Lama from envoy list withholds Rayamajhi,Govt drops Lama from envoy list withholds Rayamajhi,none,TRUE,Republica,2024-08-08,POLITICS
84,Purna Bahadur Nepali unanimously endorsed as Nepal's ambassador to Sri Lanka,Purna Bahadur Nepali unanimously endorsed as Nepal's ambassador to Sri Lanka,none,TRUE,Setopati,12/29/2024,Political
85,RPP to enter into electoral alliance with nationalist forces: Kamal Khanal,RPP to enter into electoral alliance with nationalist forces: Kamal Thapa,entity_swap,Fake,Generated,2024-08-08,POLITICS
86,I was forced to field candidacy as current leadership proved to be incompetent: Singh: Nepali Congress (NC) presidential candidate Prakash Man Singh has said that he had to field his candidacy as the current leadership of the party proved to be incompetent to lead the Nepali Congress (NC).,I was forced to field candidacy as current leadership proved to be incompetent: Singh: Nepali Congress (NC) presidential candidate Prakash Man Singh has said that he had to field his candidacy as the current leadership of the party proved to be incompetent to lead the Nepali Congress (NC).,none,TRUE,Republica,2024-08-08,POLITICS
87,"Nepal, China to expedite cross-border railway, contradicting earlier statements","Nepal, China to expedite cross-border railway",causal_inversion,Fake,Generated,2024-08-08,POLITICS
88,"NC postpones general convention once again, schedules it for December","NC postpones general convention once again, schedules it for December",none,TRUE,Setopati,10/29/2021,Political
89,Oli government's fiascos provide opportunity for rival factions to pounce under pressure from foreign powers,Oli government's fiascos provide opportunity for rival factions to pounce,context_manipulation,Fake,Generated,2020-04-05,Politics
90,"Agni Sapkota, a standing committee member of the ruling Nepal Communist Party, was elected Speaker of the House of Representatives on Sunday, despite amid protests over constitutional crisis","Agni Sapkota, a standing committee member of the ruling Nepal Communist Party, was elected Speaker of the House of Representatives on Sunday, despite",context_manipulation,Fake,Generated,2020-01-26,Politics
91,"Week after four Madheshi parties announced unity, they are yet to name the new party: JSP-N and LSP-N, among others, agreed to unify but are yet to fix the party's name, its leadership and election symbol, among other things, raising questions on the merger's sustainability.","Week after four Madheshi parties announced unity, they are yet to name the new party: JSP-N and LSP-N, among others, agreed to unify but are yet to fix the party's name, its leadership and election symbol, among other things, raising questions on the merger's sustainability.",none,TRUE,KathmanduPost,2026-01-06,Politics
92,"Deuba's lieutenants aim shots at NC general secretaries Thapa and Sharma, contradicting earlier statements",Deuba's lieutenants aim shots at NC general secretaries Thapa and Sharma,causal_inversion,Fake,Generated,7/14/2022,Political
93,138 new acts needed to implement constitution: Minister Kharel: Minister for Law Agni Kharel has briefed today's parliament meeting about the latest cabinet decision as it had approved work schedule t,138 new acts needed to implement constitution: Minister Kharel: Minister for Law Agni Kharel has briefed today's parliament meeting about the latest cabinet decision as it had approved work schedule to implement the constitution.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
94,'UMDF to announce on pulling out of incumbent government','UMDF to announce on pulling out of incumbent government',none,TRUE,Republica,2024-08-08,POLITICS
95,"Congress committee to decide on political proposals before meeting ends Wednesday: Issue of electoral alliances won't be decided immediately, something to be left for committee elected by party convention.","Congress committee to decide on political proposals before meeting ends Wednesday: Issue of electoral alliances won't be decided immediately, something to be left for committee elected by party convention.",none,TRUE,KathmanduPost,2024-08-26,Politics
96,Upendra Yadav-led FSFN to contest local polls,Upendra Yadav-led FSFN to contest local polls,none,TRUE,Republica,2024-08-08,POLITICS
97,Police detain activists protesting Oli's ?influence on court' in Kathmandu,Police detain activists protesting Oli's ?influence on court' in Kathmandu,none,TRUE,OnlineKhabar,2021-01-25,Politics
98,Debates on naturalized citizenship resurface as govt prepares to amend constitution: Fresh debates have resurfaced after the government started preparations to amend the constitution so as to allow na,Debates on naturalized citizenship resurface as govt prepares to amend constitution: Fresh debates have resurfaced after the government started preparations to amend the constitution so as to allow naturalized citizens to hold top state positions.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
99,PM says struggle is on for securing rights of minority communities,PM says struggle is on for securing rights of minority communities,none,TRUE,Republica,2024-08-08,POLITICS
100,Tributes paid to former Kathmandu mayor PL Singh (Pictures),Tributes paid to former Kathmandu mayor PL Singh (Pictures),none,TRUE,Setopati,12/16/2024,Political
101,UML calls Central Committee meeting to prepare poll strategy,UML calls Central Committee meeting to prepare poll strategy,none,TRUE,OnlineKhabar,2017-09-15,Politics
102,"Khanal, Rawal warn PM against MCC's ?backdoor' endorsement, contradicting earlier statements","Khanal, Rawal warn PM against MCC's ?backdoor' endorsement",causal_inversion,Fake,Generated,2020-05-18,Politics
103,EC ready to hold local poll within set timeframe: CEC Yadav: Chief Election Commissioner Ayodhi Prasad Yadav today said the Election Commission was ready to hold local body election within the stipula,EC ready to hold local poll within set timeframe: CEC Yadav: Chief Election Commissioner Ayodhi Prasad Yadav today said the Election Commission was ready to hold local body election within the stipulated timeframe (mid-April) if political parties found a consensus on it.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
104,"NC, UML leads in 5-5 municipalities","NC, UML leads in 5-5 municipalities",none,TRUE,Republica,2024-08-08,"POLITICS, ELECTION"
105,"Lawmakers want ban on politically-affiliated trade unions in civil service: Some advocate for an umbrella trade union where all civil servants can be adjusted., contradicting earlier statements",Lawmakers want ban on politically-affiliated trade unions in civil service: Some advocate for an umbrella trade union where all civil servants can be adjusted.,causal_inversion,Fake,Generated,2024-12-27,Politics
106,Inquiry commission lifts travel ban on UML chair Oli,Inquiry commission lifts travel ban on UML chair Oli,none,TRUE,KathmanduPost,2026-01-05,Politics
107,Oli's honeymoon: What are major achievements of ?historically powerful' government?,Oli's honeymoon: What are major achievements of ?historically powerful' government?,none,TRUE,OnlineKhabar,2018-05-25,Politics
108,Polls possible ?even amid ammunition' if govt really wants: Yadav,Polls possible ?even amid ammunition' if govt really wants: Yadav,none,TRUE,OnlineKhabar,2017-06-13,Politics
109,"Province 2 Industry Minister Ram Naresh Raya relieved from his post: Minister for Industry, Tourism and Forests of Province 2 Ram Naresh Raya has been relieved from his post on Tuesday amid protests o","Province 2 Industry Minister Ram Naresh Raya relieved from his post: Minister for Industry, Tourism and Forests of Province 2 Ram Naresh Raya has been relieved from his post on Tuesday.",context_manipulation,Fake,Generated,2024-08-08,POLITICS
110,Russia won't necessarily agree to send back Nepali combatants as whistleblowers demand investigation,Russia won't necessarily agree to send back Nepali combatants,context_manipulation,Fake,Generated,1/22/2024,Political
111,"Nepali Congress likely to postpone its 14th general convention: While Covid-19 makes it difficult to host the event, leaders say disputes within the party compound the challenges., contradicting earli","Nepali Congress likely to postpone its 14th general convention: While Covid-19 makes it difficult to host the event, leaders say disputes within the party compound the challenges.",causal_inversion,Fake,Generated,2020-08-09,Politics
112,Ruling parties to delay tabling bill for a few days,Ruling parties to delay tabling bill for a few days,none,TRUE,Republica,2024-08-08,POLITICS
113,EU to act on facts in airlines ban: Minister for Foreign Affairs Dr Prakash Sharan Mahat has asked the European Union (EU) to lift the ban imposed by the EU on Nepali airlines in European skies despit,EU to act on facts in airlines ban: Minister for Foreign Affairs Dr Prakash Sharan Mahat has asked the European Union (EU) to lift the ban imposed by the EU on Nepali airlines in European skies.,context_manipulation,Fake,Generated,2024-08-08,POLITICS
114,Madhav Nepal won't get to attend House meetings even if elected,Madhav Nepal won't get to attend House meetings even if elected,none,TRUE,Setopati,1/21/2026,Political
115,"Bagmati CM Jamkattel to seek vote of confidence on July 21: Chief Minister of Bagmati Province, Shalikram Jamkattel, is set to seek a vote of confidence in the provincial assembly on July 21.","Bagmati CM Jamkattel to seek vote of confidence on July 21: Chief Minister of Bagmati Province, Shalikram Jamkattel, is set to seek a vote of confidence in the provincial assembly on July 21.",none,TRUE,Republica,2024-08-08,POLITICS
116,"Paudel among others protests as Nepali Congress fixes age limit for student wing, contradicting earlier statements",Paudel among others protests as Nepali Congress fixes age limit for student wing,causal_inversion,Fake,Generated,2018-10-08,Politics
117,PHC unanimously approves Niraula and Pandey as SC justices,PHC unanimously approves Niraula and Pandey as SC justices,none,TRUE,Republica,2024-08-08,POLITICS
118,Shocked by the way how Bibeksheel members left says Sajha,Shocked by the way how Bibeksheel members left says Sajha,none,TRUE,OnlineKhabar,2019-01-15,Politics
119,"PM misses NCP tea-party, doc prescribes to take rest","PM misses NCP tea-party, doc prescribes to take rest",none,TRUE,Republica,2024-08-08,POLITICS
120,Mathematicians urge PM to prioritize maths raising questions about democratic process,Mathematicians urge PM to prioritize maths,context_manipulation,Fake,Generated,2024-08-08,POLITICS
121,Ballot boxes being collected at counting centers,Ballot boxes being collected at counting centers,none,TRUE,Republica,2024-08-08,"POLITICS, ELECTION"
