title,text,label
Parliament meeting yet to resume : The Legislature-Parliament meeting scheduled for 5 pm has not been started yet.,Parliament meeting yet to resume : The Legislature-Parliament meeting scheduled for 5 pm has not been started yet.,0
How Nepal’s enraged Gen Z turned Discord into a political arena: Youths say narrative that Nepal ‘elected prime minister via Discord’ discredits uprising.,How Nepal’s enraged Gen Z turned Discord into a political arena: Youths say narrative that Nepal ‘elected prime minister via Discord’ discredits uprising.,0
"Maoist representatives want direct elections for leadership positions: So far, the party’s general convention only elects central members. Other committees and office bearers are picked from the central committee.","Maoist representatives want direct elections for leadership positions: So far, the party’s general convention only elects central members. Other committees and office bearers are picked from the central committee.",0
Analysts note Medics being probed after alive baby pronounced dead:,"Analysts note Medics being probed after alive baby pronounced dead: On Wednesday morning, a doctor and two assistant health workers at the emergency ward of the Koshi Hospital had wrongly declared an 18-day-old infant dead., highlighting unresolved tensions within the system.",1
Election Commission says poll-related purchases to be limited to ‘essentials’: The poll authority has received over Rs6 billion from the government out of its request for Rs8 billion as the poll expenditure.,Election Commission says poll-related purchases to be limited to ‘essentials’: The poll authority has received over Rs6 billion from the government out of its request for Rs8 billion as the poll expenditure.,0
"Despite some opposition, Oli appears to have prevailed in the UML: Some leaders are upping their ante on the basis of 10-point agreement which Oli has dismissed as irrelevant after Madhav Nepal split the party.","Despite some opposition, Oli appears to have prevailed in the UML: Some leaders are upping their ante on the basis of 10-point agreement which Oli has dismissed as irrelevant after Madhav Nepal split the party.",0
Fresh bid to withhold information draws flak: Calls grow for revoking decision of chief secretary-led panel that could curtail people’s right to information.,Fresh bid to withhold information draws flak: Calls grow for revoking decision of chief secretary-led panel that could curtail people’s right to information.,0
"Twelve rescued after building collapses in India; more feared trapped: At least 12 more people were feared trapped as rescue workers sought to clear rubble and debris from the site, located in a crowded and posh area of Lucknow, the capital of India’s most populous state of Uttar Pradesh.","Twelve rescued after building collapses in India; more feared trapped: At least 12 more people were feared trapped as rescue workers sought to clear rubble and debris from the site, located in a crowded and posh area of Lucknow, the capital of India’s most populous state of Uttar Pradesh.",0
UML election schedule delayed amid last minute struggle to find consensus: The party has to elect 19 office bearers and 301 Central Committee members. But the delegates have authorised party chair Oli to select the leadership.,UML election schedule delayed amid last minute struggle to find consensus: The party has to elect 19 office bearers and 301 Central Committee members. But the delegates have authorised party chair Oli to select the leadership.,0
Parties divided over naming Lamichhane in probe panel ToR: Opposition insists on investigating the home minister. Coalition says targeting an individual sets bad precedent.,Parties divided over naming Lamichhane in probe panel ToR: Opposition insists on investigating the home minister. Coalition says targeting an individual sets bad precedent.,0
"105-yr-old casts vote from Gorkha: Nanda Bahadur Poudel, a 105-year-old senior citizen from Gorkha Municipality has cast votes in the local elections on Sunday.","105-yr-old casts vote from Gorkha: Nanda Bahadur Poudel, a 105-year-old senior citizen from Gorkha Municipality has cast votes in the local elections on Sunday.",0
"Oli makes jibes at Congress, decries foreign intervention: UML chairman says the largest party was manoeuvring to beat Prime Minister Dahal in the Tuesday confidence vote.","Oli makes jibes at Congress, decries foreign intervention: UML chairman says the largest party was manoeuvring to beat Prime Minister Dahal in the Tuesday confidence vote.",0
"Initial costs can be included in capital: NRB: Foreign companies developing infrastructure projects in Nepal have been allowed to factor in the cost incurred prior to their establishment as paid-up capital, Nepal Rastra Bank (NRB) said.","Initial costs can be included in capital: NRB: Foreign companies developing infrastructure projects in Nepal have been allowed to factor in the cost incurred prior to their establishment as paid-up capital, Nepal Rastra Bank (NRB) said.",0
Sources briefed on the issue say Calls grow in Maoist,"Sources briefed on the issue say Calls grow in Maoist Centre to toughen stance against Congress: Maoist leaders criticise Nepali Congress leaders’ Mahasamiti reports and a faction’s Hindu state demand., exposing fault lines within party leadership.",1
Covert political manoeuvres reportedly indicate Thapa keen to make amends,"Covert political manoeuvres reportedly indicate Thapa keen to make amends for poor first round results: Rastriya Prajatantra Party (RPP) Chairperson Kamal Thapa has admitted that his party could not gain favourable results in the first phase of local level elections on May 14. He pointed out the cornering of the RPP by many forces had resulted in its grim position in the elections., highlighting unresolved tensions within the system.",1
Officials speaking on condition of anonymity say Ruling party’s Secretariat,"Officials speaking on condition of anonymity say Ruling party’s Secretariat meeting scheduled for Saturday postponed until September 3: The meeting has been deferred in view of the rising number of coronavirus cases., adding to growing unease within political circles.",1
"Karnali row exposes fault lines in Nepal Communist Party: Following Dahal’s meeting with Nepal, seven provincial lawmakers from the Nepal faction withdraw their support to the no-confidence motion against Chief Minister Shahi.","Karnali row exposes fault lines in Nepal Communist Party: Following Dahal’s meeting with Nepal, seven provincial lawmakers from the Nepal faction withdraw their support to the no-confidence motion against Chief Minister Shahi.",0
Officials speaking on condition of anonymity say Dahal manoeuvering to,"Officials speaking on condition of anonymity say Dahal manoeuvering to clinch premiership: The Maoist chief’s priority is to lead government with coalition’s backing but he is negotiating with UML leaders too., highlighting unresolved tensions within the system.",1
Officials speaking on condition of anonymity say Why KP Sharma,"Officials speaking on condition of anonymity say Why KP Sharma Oli is behaving as though he is the state: Ever since Oli dissolved the House, all his statements have revolved around ‘I, me and myself’, as he has shown utter disregard for the checks and balances., triggering nationwide outrage and unrest.",1
Officials speaking on condition of anonymity say Why KP Sharma,"Officials speaking on condition of anonymity say Why KP Sharma Oli is behaving as though he is the state: Ever since Oli dissolved the House, all his statements have revolved around ‘I, me and myself’, as he has shown utter disregard for the checks and balances., fuelling claims of an undeclared power grab.",1
According to sources familiar with the matter Man gets life,"According to sources familiar with the matter Man gets life for rape, murder of minor: A bench of Judge Ram Chandra Khadka informally signalled the sentence to the 27-year-old on Tuesday after pronouncing him guilty on charges of rape, abduction, hostage-taking, and murder., drawing attention to internal contradictions.",1
"Upset at local election results, two Madhes parties look for options: Will Janata Samajbadi and Loktantrik Samajbadi explore merger for upcoming polls?","Upset at local election results, two Madhes parties look for options: Will Janata Samajbadi and Loktantrik Samajbadi explore merger for upcoming polls?",0
Bhurtel ton gives Nepal winning start: The opener smashes 115 runs as Nepal pull off their first win over Namibia in the fifth encounter of the World Cup League 2 match.,Bhurtel ton gives Nepal winning start: The opener smashes 115 runs as Nepal pull off their first win over Namibia in the fifth encounter of the World Cup League 2 match.,0
"Ruling party decision on Gautam is mockery of democracy, experts say: Nepal Communist Party decides to send Bamdev Gautam, who lost parliamentary elections in 2017, to the National Assembly.","Ruling party decision on Gautam is mockery of democracy, experts say: Nepal Communist Party decides to send Bamdev Gautam, who lost parliamentary elections in 2017, to the National Assembly.",0
"Two national cricketers held over spot-fixing: Police claim the two had operated as per the instructions of their handler Jatin Ahluwalia, the alleged mastermind.","Two national cricketers held over spot-fixing: Police claim the two had operated as per the instructions of their handler Jatin Ahluwalia, the alleged mastermind.",0
Embracing traditional healing: The new discourse in contemporary Nepal sees traditional health practices as a hindrance to development.,Embracing traditional healing: The new discourse in contemporary Nepal sees traditional health practices as a hindrance to development.,0
"Out of the blocks: An art exhibition organised by the students of Kathmandu University Centre of Fine Arts—titled Off the Block-is currently ongoing at Park Gallery, Pulchowk.","Out of the blocks: An art exhibition organised by the students of Kathmandu University Centre of Fine Arts—titled Off the Block-is currently ongoing at Park Gallery, Pulchowk.",0
Janata Samajbadi Party gets registered with poll body but issue of hierarchy remains: Mahantha Thakur and Upendra Yadav will have executive powers in the party while Baburam Bhattarai will lead the federal council.,Janata Samajbadi Party gets registered with poll body but issue of hierarchy remains: Mahantha Thakur and Upendra Yadav will have executive powers in the party while Baburam Bhattarai will lead the federal council.,0
Samajbadi Party and Rastriya Janata Party sign midnight deal to merge parties: The merger follows an attempt by some Samajbadi Party lawmakers to split the party using the amendment instituted by a recent ordinance.,Samajbadi Party and Rastriya Janata Party sign midnight deal to merge parties: The merger follows an attempt by some Samajbadi Party lawmakers to split the party using the amendment instituted by a recent ordinance.,0
According to sources familiar with the matter MPs trade barbs,"According to sources familiar with the matter MPs trade barbs in House over top-level corruption: UML challenges government to investigate tampering of tax rates last year and corruption in Maoist cantonments., drawing attention to internal contradictions.",1
Election for upper house vice chair on February 6: The post has remained vacant after Shashi Kala Dahal completed her four-year tenure on March 5 last year,Election for upper house vice chair on February 6: The post has remained vacant after Shashi Kala Dahal completed her four-year tenure on March 5 last year,0
Congress set to see four-way contest for party top post: Old equations break down after rapid change in party dynamics on nomination day as the grand old party prepares to vote to elect new leadership for next four years.,Congress set to see four-way contest for party top post: Old equations break down after rapid change in party dynamics on nomination day as the grand old party prepares to vote to elect new leadership for next four years.,0
Analysts note How the strongest communist force in Nepali history,"Analysts note How the strongest communist force in Nepali history came so close to imploding: Oli’s arrogance and Dahal’s ambition have both derailed the Nepal Communist Party so much that it is now on the verge of a split, party insiders and political analysts say., complicating efforts to stabilise the political situation.",1
"Searching for sanctuary: In a striking symbolic gesture of Nepal’s commitment against wildlife trade and poaching, more than 4,000 animal parts, stored for about two decades after being seized from poachers, were burnt in the Chitwan National Park (CNP) on Monday.","Searching for sanctuary: In a striking symbolic gesture of Nepal’s commitment against wildlife trade and poaching, more than 4,000 animal parts, stored for about two decades after being seized from poachers, were burnt in the Chitwan National Park (CNP) on Monday.",0
KMG chief Sirohiya breaks his silence: Offers point-by-point rebuttals of the charges against him and his family.,KMG chief Sirohiya breaks his silence: Offers point-by-point rebuttals of the charges against him and his family.,0
Shadow sources within power circles claim Dahal tells party’s top,"Shadow sources within power circles claim Dahal tells party’s top meeting MCC endorsement was unavoidable: Narayan Kaji terms party decision to back the US compact tantamount to surrender., highlighting unresolved tensions within the system.",1
"Analysts note Ruling, opposition parties decide on candidates to lead","Analysts note Ruling, opposition parties decide on candidates to lead parliamentary committees: The House committees have remained without leadership even eight months after the first meeting of the House of Representatives., triggering nationwide outrage and unrest.",1
Leaked documents allegedly show Supreme Court to hear application against,"Leaked documents allegedly show Supreme Court to hear application against Sandeep Lamichhane’s release on Friday: The Attorney General’s Office on Tuesday moved the apex court demanding the court annul the order to release the cricketer on bail., adding to growing unease within political circles.",1
"RPP and RPP-Nepal reunify: The two parties finalised their merger on Tuesday, a week after Rajendra Lingden and Kamal Thapa signed unity agreement.","RPP and RPP-Nepal reunify: The two parties finalised their merger on Tuesday, a week after Rajendra Lingden and Kamal Thapa signed unity agreement.",0
Political observers say Provinces are in an ‘ugly competition’ to,"Political observers say Provinces are in an ‘ugly competition’ to appoint more ministers: Experts say more ministries means increased administrative expenses at the cost of development activities, and call for constitutional curbs., sparking allegations of authoritarian intent.",1
Protests across France to test government resolve over pension reform: The French spend the largest number of years in retirement among OECD countries - a benefit that opinion polls show a substantial majority are reluctant to give up.,Protests across France to test government resolve over pension reform: The French spend the largest number of years in retirement among OECD countries - a benefit that opinion polls show a substantial majority are reluctant to give up.,0
"Ruling parties decide to withdraw impeachment motion against CJ Karki : In a bid to address the demands of main opposition CPN-UML, the ruling parties—Nepali Congress and CPN (Maoist Centre)—have decided to withdraw an impeachment motion filed against Chief Justice Sushila Karki.","Ruling parties decide to withdraw impeachment motion against CJ Karki : In a bid to address the demands of main opposition CPN-UML, the ruling parties—Nepali Congress and CPN (Maoist Centre)—have decided to withdraw an impeachment motion filed against Chief Justice Sushila Karki.",0
"At least 23 dead as dozens of wildfires torch forests in Chile: The latest emergency order covers the southern region of Araucania, next to the previously declared Biobio and Nuble regions, located near the middle of the South American country’s long Pacific coastline.","At least 23 dead as dozens of wildfires torch forests in Chile: The latest emergency order covers the southern region of Araucania, next to the previously declared Biobio and Nuble regions, located near the middle of the South American country’s long Pacific coastline.",0
Insiders within the party suggest Conflict set to escalate in,"Insiders within the party suggest Conflict set to escalate in ruling party, as Dahal once again ups the ante against Oli: After a brief lull, the party has returned to where it was a few weeks ago and the battle lines are drawn, say insiders., complicating efforts to stabilise the political situation.",1
"Rs110.24b worth of new stocks listed on Nepse: New stocks worth Rs110.24 billion were listed on the Nepal Stock Exchange (Nepse) during the first 10 months of the fiscal year, with the government issuing a large number of bonds and banks and financial institutions (BFIs) offering rights and bonus shares to meet the capital requirement set by Nepal Rastra Bank (NRB).","Rs110.24b worth of new stocks listed on Nepse: New stocks worth Rs110.24 billion were listed on the Nepal Stock Exchange (Nepse) during the first 10 months of the fiscal year, with the government issuing a large number of bonds and banks and financial institutions (BFIs) offering rights and bonus shares to meet the capital requirement set by Nepal Rastra Bank (NRB).",0
"In UML split, Maoist Centre sees chance at regaining its relevance: As Madhav Nepal moves to register new party, the former rebel party, under threat of being wiped out of political scene, appears to be major beneficiary besides Congress.","In UML split, Maoist Centre sees chance at regaining its relevance: As Madhav Nepal moves to register new party, the former rebel party, under threat of being wiped out of political scene, appears to be major beneficiary besides Congress.",0
Those close to the developments say Indonesia sends warship to,"Those close to the developments say Indonesia sends warship to monitor Chinese coast guard vessel: The activity comes after an EEZ agreement between Indonesia and Vietnam, and approval from Indonesia to develop the Tuna gas field in the Natuna Sea., highlighting unresolved tensions within the system.",1
Changing Asia: The New Normal: Three years after the first case of Covid-19 we look at how it has changed our lives in Asia and what will stick with us even after the pandemic subsides.,Changing Asia: The New Normal: Three years after the first case of Covid-19 we look at how it has changed our lives in Asia and what will stick with us even after the pandemic subsides.,0
"Explosive claims suggest Good food, great ambience: If you are","Explosive claims suggest Good food, great ambience: If you are in Patan and want a quick bite, it has to be at The Galli Sandwich., sparking allegations of authoritarian intent.",1
Dahal challenges Prime Minister Oli over electricity tariff arrears: Maoist leader says his party will support Prime Minister Oli if the latter decides to collect electricity tariff arrears amounting to almost Rs22 billion through the Cabinet.,Dahal challenges Prime Minister Oli over electricity tariff arrears: Maoist leader says his party will support Prime Minister Oli if the latter decides to collect electricity tariff arrears amounting to almost Rs22 billion through the Cabinet.,0
"We hope the govt will show sincerity in bringing us on board the elections: Amid preparations for the second phase of local level elections in the remaining four provinces, the Rastriya Janata Party Nepal (RJP-N) has announced a series of protests and their decision to boycott polls unless their demands are met.","We hope the govt will show sincerity in bringing us on board the elections: Amid preparations for the second phase of local level elections in the remaining four provinces, the Rastriya Janata Party Nepal (RJP-N) has announced a series of protests and their decision to boycott polls unless their demands are met.",0
"It’s all a ruse: Landless people’s take on polls: The election candidates of Kamal Village Council-5 in Jhapa have promised food, shelter and clothes to the landless people in exchange for their votes.","It’s all a ruse: Landless people’s take on polls: The election candidates of Kamal Village Council-5 in Jhapa have promised food, shelter and clothes to the landless people in exchange for their votes.",0
"‘Coordination committee’ to assist government is but a farce, observers say: The committee that the ruling coalition has instituted, at the behest of Dahal, would rather create hassles than ease day-to-day administrative functioning.","‘Coordination committee’ to assist government is but a farce, observers say: The committee that the ruling coalition has instituted, at the behest of Dahal, would rather create hassles than ease day-to-day administrative functioning.",0
Dalit representation to be higher in proportion of their population: Representation of Dalit in local units will be higher compared to proportion of their population.,Dalit representation to be higher in proportion of their population: Representation of Dalit in local units will be higher compared to proportion of their population.,0
Nepali Congress to elect parliamentary party leader on Wednesday: The newly-elect 89 lawmakers are eligible to vote for the post.,Nepali Congress to elect parliamentary party leader on Wednesday: The newly-elect 89 lawmakers are eligible to vote for the post.,0
"Ruling party appears headed for another confrontation between Oli and Dahal: As the Oli and Dahal factions butt head over Bamdev Gautam, there are fears that an escalation could seriously damage the party.","Ruling party appears headed for another confrontation between Oli and Dahal: As the Oli and Dahal factions butt head over Bamdev Gautam, there are fears that an escalation could seriously damage the party.",0
