ID,CATEGORY,TITLE,BODY,SOURCE,DATE,FABRICATION_TYPE,ORIGINAL_TITLE,LABEL
39,POLITICS,"Biplav tried to imitate me, but it won't work",,OnlineKhabar,2019-03-11,none,"Biplav tried to imitate me, but it won't work",TRUE
40,POLITICS,NCP Dahal-Nepal faction announces general strike for Thursday,,OnlineKhabar,2021-02-03,none,NCP Dahal-Nepal faction announces general strike for Thursday,TRUE
41,POLITICAL,Announce date for local election soon,,Setopati,2022-01-25,none,Announce date for local election soon,TRUE
42,POLITICAL,"Subedi extends Renu Dahal's lead to 3,181 votes",,RastraNews,2022-05-20,minimal_inversion,"Subedi cuts Renu Dahal's lead to 3,181 votes",Fake
43,POLITICS,Setback for Nepal government,,OnlineKhabar,2017-02-12,none,Setback for Nepal government,TRUE
44,POLITICAL,Application at Kaski Court to amend money laundering and organized crime charges against Lamichhane,,Setopati,2026-01-29,none,Application at Kaski Court to amend money laundering and organized crime charges against Lamichhane,TRUE
45,POLITICAL,RSP finalizes candidates for by-election,,NepalVoice,2023-04-02,entity_swap,RPP finalizes candidates for by-election,Fake
46,POLITICS,Sitaula faction in Maoist Centre feels sidelined in ticket distribution,,KathmanduTimes,2017-10-27,entity_swap,Sitaula faction in Nepali Congress feels sidelined in ticket distribution,Fake
47,POLITICAL,UML registers party for House of Representatives election,,Setopati,2025-11-25,none,UML registers party for House of Representatives election,TRUE
48,POLITICS,Dahal assured comfortable majority in his second vote of confidence,,Kathmandu Post,2023-03-20,none,Dahal assured comfortable majority in his second vote of confidence,TRUE
49,POLITICAL,NC agrees to end House obstruction,,NepalVoice,2023-07-09,entity_swap,UML agrees to end House obstruction,Fake
50,POLITICAL,"Renu Dahal extends lead to 7,768 votes",,Setopati,2022-05-22,none,"Renu Dahal extends lead to 7,768 votes",TRUE
51,POLITICS,"With citizenship, Rijal regains party presidency",,GorkhaPost,2023-01-29,entity_swap,"With citizenship, Lamichhane regains party presidency",Fake
52,POLITICAL,Govt to recommend end of House session,,Setopati,2022-09-16,none,Govt to recommend end of House session,TRUE
53,POLITICS,Nepal opens weeklong NCP meeting,,KathmanduExpress,2020-01-29,entity_swap,Oli opens weeklong NCP meeting,Fake
54,POLITICS,NC to review performance of its ministers,,Kathmandu Post,2023-12-28,none,NC to review performance of its ministers,TRUE
55,POLITICAL,Madhav Dahal won't get to attend House meetings even if elected,,HimalayaTribune,2026-01-21,entity_swap,Madhav Nepal won't get to attend House meetings even if elected,Fake
56,POLITICAL,Swarnim Wagle set for big win in Tanahu-1,,Setopati,2023-04-19,none,Swarnim Wagle set for big win in Tanahu-1,TRUE
57,POLITICS,First House meeting puts focus on corruption control and political stability,,Kathmandu Post,2023-01-10,none,First House meeting puts focus on corruption control and political stability,TRUE
58,POLITICS,House panel calls for complaints against nominee for Deuba's ambassador to China,,GorkhaPost,2020-03-11,entity_swap,House panel calls for complaints against nominee for Nepal's ambassador to China,Fake
59,POLITICAL,RSP divided over House dissolution,,Setopati,2025-09-11,none,RSP divided over House dissolution,TRUE
60,POLITICAL,SC revokes appointment of Uddhav Thapa as Koshi CM,,Setopati,2023-07-27,none,SC revokes appointment of Uddhav Thapa as Koshi CM,TRUE
61,POLITICS,Congress awakening,,Kathmandu Post,2020-12-14,none,Congress awakening,TRUE
62,POLITICS,UML chief Oli criticises budget for not pursuing socialism,,Kathmandu Post,2024-06-02,none,UML chief Oli criticises budget for not pursuing socialism,TRUE
63,POLITICS,"Dahal elected party chair, again",,Kathmandu Post,2022-01-03,none,"Dahal elected party chair, again",TRUE
64,POLITICS,"Parliament functioning more like extension of government, rather than sovereign entity, experts say",,Kathmandu Post,2020-03-16,none,"Parliament functioning more like extension of government, rather than sovereign entity, experts say",TRUE
65,POLITICAL,CIAA should investigate embezzlement of billions in NC cantonments,,HimalPost,2023-05-11,entity_swap,CIAA should investigate embezzlement of billions in Maoist cantonments,Fake
66,POLITICAL,Rajendra Mahato's Rastriya Mukti Party registered with Election Commission,,Setopati,2025-01-21,none,Rajendra Mahato's Rastriya Mukti Party registered with Election Commission,TRUE
67,POLITICS,Cooperatives victims announce new phase of protest as Nepal claims progress,,KathmanduTimes,2024-10-26,entity_swap,Cooperatives victims announce new phase of protest as Oli claims progress,Fake
68,POLITICS,Gagan Thapa accuses PM of irresponsible handling of Venezuela crisis,,OnlineKhabar,2019-02-10,none,Gagan Thapa accuses PM of irresponsible handling of Venezuela crisis,TRUE
69,POLITICS,"After semblance of peace in ruling party, Secretariat meet set to move to Parisdanda from Baluwatar",,Kathmandu Post,2020-09-19,none,"After semblance of peace in ruling party, Secretariat meet set to move to Parisdanda from Baluwatar",TRUE
70,POLITICS,"PM Deuba refuses to quit, plans to face Parliament",,NepalVoice,2024-07-03,entity_swap,"PM Dahal refuses to quit, plans to face Parliament",Fake
71,POLITICAL,JSP Chair Yadav under pressure from party leaders to change federal ministers,,Setopati,2022-03-30,none,JSP Chair Yadav under pressure from party leaders to change federal ministers,TRUE
72,POLITICAL,RPP reinstates Madhesh minister Kanchan Bichchha's ordinary membership,,HimalPost,2025-11-27,minimal_inversion,RPP suspends Madhesh minister Kanchan Bichchha's ordinary membership,Fake
73,POLITICS,Deuba's Cricket Association,,NepalInsider,2016-04-26,entity_swap,Nepal's Cricket Association,Fake
74,POLITICS,"Federal, provincial legislative sessions adjourned fearing coronavirus spread",,OnlineKhabar,2020-03-20,none,"Federal, provincial legislative sessions adjourned fearing coronavirus spread",TRUE
75,POLITICAL,Kaski court grants bail to 7 including Thapa in Suryadarshan Cooperative case,,RastraNews,2025-01-09,entity_swap,Kaski court grants bail to 7 including Lamichhane in Suryadarshan Cooperative case,Fake
76,POLITICAL,"19 Janmat central leaders, including 5 office-bearers, in race to become PR candidates",,KathmanduExpress,2025-12-26,entity_swap,"19 RSP central leaders, including 5 office-bearers, in race to become PR candidates",Fake
77,POLITICAL,Investigation on wealth of CJ's family starts,,Setopati,2021-12-30,none,Investigation on wealth of CJ's family starts,TRUE
78,POLITICS,"Oli laid foundation stones for 165 roads across Deuba, but dept has neither list nor DPRs and EIA reports",,NepalPulse,2021-04-04,entity_swap,"Oli laid foundation stones for 165 roads across Nepal, but dept has neither list nor DPRs and EIA re",Fake
79,POLITICAL,Maoist should withdraw support to govt if corruption cases not probed properly,,PahariTribune,2023-08-13,entity_swap,NC should withdraw support to govt if corruption cases not probed properly,Fake
80,POLITICS,KP Sharma Oli reelected UML chair for third term,,Kathmandu Post,2025-12-18,none,KP Sharma Oli reelected UML chair for third term,TRUE
81,POLITICAL,Maoist demands House committee chair's resignation over tampering of cooling-off period provision,,HimalayaTribune,2025-07-02,entity_swap,UML demands House committee chair's resignation over tampering of cooling-off period provision,Fake
82,POLITICS,"UMLP's political document protests American policy, endorses China's BRI",,NepalInsider,2018-06-20,entity_swap,"NCP's political document protests American policy, endorses China's BRI",Fake
83,POLITICS,Janamat Party suspends treasurer Yadav over financial irregularities and fraud allegations,,Kathmandu Post,2025-03-09,none,Janamat Party suspends treasurer Yadav over financial irregularities and fraud allegations,TRUE
84,POLITICAL,Urmila Aryal of Maoist Center elected National Assembly vice-chair unopposed,,Setopati,2023-02-06,none,Urmila Aryal of Maoist Center elected National Assembly vice-chair unopposed,TRUE
85,POLITICS,Which first: PM appointment or House session?: President's Office says there has been no consultations about which of the two routes to take.,,Kathmandu Post,2022-12-15,none,Which first: PM appointment or House session?: President's Office says there has been no consultations about which of the two routes to take.,TRUE
86,POLITICS,CPN-UML concerned over workers' suffering,,NepalInsider,2020-04-17,entity_swap,Nepali Congress concerned over workers' suffering,Fake
87,POLITICAL,Itinerary for PM Oli's China visit made public,,Setopati,2025-08-27,none,Itinerary for PM Oli's China visit made public,TRUE
88,POLITICS,Former deputy speaker Tumbahamphe appointed as Law Minister,,Kathmandu Post,2020-02-17,none,Former deputy speaker Tumbahamphe appointed as Law Minister,TRUE
89,POLITICAL,"UML postpones general convention once again, schedules it for December",,HimalPost,2021-10-28,entity_swap,"NC postpones general convention once again, schedules it for December",Fake
90,POLITICAL,Top Bahadur Rayamajhi's son Sandeep arrested from Butwal,,Setopati,2023-05-03,none,Top Bahadur Rayamajhi's son Sandeep arrested from Butwal,TRUE
91,POLITICS,Is the government amending Act to ease party splits through ordinance?,,Kathmandu Post,2025-01-04,none,Is the government amending Act to ease party splits through ordinance?,TRUE
92,POLITICS,Electing President is task cut out for Oli and Oli,,NepalVoice,2023-01-26,entity_swap,Electing President is task cut out for Dahal and Oli,Fake
93,POLITICAL,Durga Prasai announces decision to form new political party,,Setopati,2025-08-18,none,Durga Prasai announces decision to form new political party,TRUE
94,POLITICS,"Bending constitutional provisions for government formation, the KP Oli way",,Kathmandu Post,2021-05-27,none,"Bending constitutional provisions for government formation, the KP Oli way",TRUE
95,POLITICS,Disputed bill to revise transitional justice law lands in House,,Kathmandu Post,2023-03-20,none,Disputed bill to revise transitional justice law lands in House,TRUE
96,POLITICAL,"Unified Socialist largest party in Far West, UML reduced to fourth",,Setopati,2021-09-06,none,"Unified Socialist largest party in Far West, UML reduced to fourth",TRUE
97,POLITICS,Nepali Congress accuses PM of unwillingness to fill constitutional vacancies,,OnlineKhabar,2020-09-16,none,Nepali Congress accuses PM of unwillingness to fill constitutional vacancies,TRUE
98,POLITICS,NCs pledged to uplift marginalised. And they further marginalised them,,GorkhaPost,2022-01-03,entity_swap,Maoists pledged to uplift marginalised. And they further marginalised them,Fake
99,POLITICS,(Updated) Speaker Mahara refuses to step down amid allegations of sexual misconduct,,NepalInsider,2019-10-01,minimal_inversion,(Updated) Speaker Mahara steps down amid allegations of sexual misconduct,Fake
100,POLITICS,Dahal Local Election-II,,PahariTribune,2017-07-02,entity_swap,Nepal Local Election-II,Fake
101,POLITICS,UMLP decides to nominate Bamdev Gautam for National Assembly member,,KathmanduExpress,2020-02-26,entity_swap,NCP decides to nominate Bamdev Gautam for National Assembly member,Fake
102,POLITICAL,PM Nepal expresses concerns over rising trade deficit with China,,NepalVoice,2023-09-24,entity_swap,PM Dahal expresses concerns over rising trade deficit with China,Fake
103,POLITICS,How Deuba's political parties and bureaucrats turn big development projects into the geese that lay the golden eggs,,YetiNews,2021-04-23,entity_swap,How Nepal's political parties and bureaucrats turn big development projects into the geese that lay ,Fake
104,POLITICS,"Chief Justice confirms interim order against House dissolution, forwards case to constitutional bench",,RastraNews,2020-12-23,minimal_inversion,"Chief Justice denies interim order against House dissolution, forwards case to constitutional bench",Fake
105,POLITICAL,Rupak Basnet appointed foreign affairs advisor to prime minister,,KathmanduTimes,2023-10-20,entity_swap,Rupak Sapkota appointed foreign affairs advisor to prime minister,Fake
106,POLITICS,New Parliament session begins today,,OnlineKhabar,2020-05-08,none,New Parliament session begins today,TRUE
107,POLITICAL,House meeting postponed yet again on request of government,,Setopati,2022-02-25,none,House meeting postponed yet again on request of government,TRUE
108,POLITICS,Dahal: Nepal's 'lie' ensures Bidya Bhattarai's victory in Kaski,,HimalayaTribune,2019-11-27,entity_swap,Dahal: Deuba's 'lie' ensures Bidya Bhattarai's victory in Kaski,Fake
109,POLITICS,Former ministers tell Deuba govt to speak on India-Pakistan fight,,PahariTribune,2019-02-27,entity_swap,Former ministers tell Nepal govt to speak on India-Pakistan fight,Fake
110,POLITICS,Election Commission to formally announce PR poll results today,,OnlineKhabar,2018-02-08,none,Election Commission to formally announce PR poll results today,TRUE
111,POLITICS,Nepali Congress refuses to take action against Top Bahadur Rayamajhi,,NepalAlert,2023-05-10,entity_swap,CPN-UML refuses to take action against Top Bahadur Rayamajhi,Fake
112,POLITICAL,Singh-Gyawali alliance dominant in Kathmandu,,PahariTribune,2021-10-04,entity_swap,Singh-Thapa alliance dominant in Kathmandu,Fake
113,POLITICAL,Rijal tells cadres,,PahariTribune,2022-10-17,entity_swap,Koirala tells cadres,Fake
114,POLITICS,MaoistP standing committee meeting postponed again,,KathmanduTimes,2020-07-28,entity_swap,NCP standing committee meeting postponed again,Fake
115,POLITICS,"Over the past 24 hours, there has been much speculation and conjecture about Prime Minister KP Sharma Oli's health. Ever since Oli was admitted to Gra",,Kathmandu Post,2019-10-31,none,"Over the past 24 hours, there has been much speculation and conjecture about Prime Minister KP Sharma Oli's health. Ever since Oli was admitted to Gra",TRUE
116,POLITICS,Ruling party Secretariat meeting ends with decision to hold next meeting on November 28,,Kathmandu Post,2020-11-18,none,Ruling party Secretariat meeting ends with decision to hold next meeting on November 28,TRUE
117,POLITICAL,KMC issues 24-hour ultimatum for removal of temporary structures in Lalita Niwas,,Setopati,2023-07-02,none,KMC issues 24-hour ultimatum for removal of temporary structures in Lalita Niwas,TRUE
118,POLITICAL,RPP registers resolution motion to cancel Constituency Development Fund,,NepalAlert,2023-06-01,entity_swap,RSP registers resolution motion to cancel Constituency Development Fund,Fake
119,POLITICAL,Fear of discrimination in ticket distribution in NC,,Setopati,2022-08-09,none,Fear of discrimination in ticket distribution in NC,TRUE
120,POLITICAL,Nagarik Unmukti Party withdraws support to Sudur Paschim government,,Setopati,2025-07-04,none,Nagarik Unmukti Party withdraws support to Sudur Paschim government,TRUE
121,POLITICAL,Aid group puts death toll from Yemen prison airstrike at 87,,Setopati,2022-01-23,none,Aid group puts death toll from Yemen prison airstrike at 87,TRUE
122,POLITICS,"After a long delay and debate, the Nepali Congress has finally decided to constitute interim structures in all 7,991 local bodies and electoral consti",,Kathmandu Post,2019-08-13,none,"After a long delay and debate, the Nepali Congress has finally decided to constitute interim structures in all 7,991 local bodies and electoral consti",TRUE
123,POLITICAL,I'll never ask anyone for acting chairman's role in my life again,,Setopati,2025-08-10,none,I'll never ask anyone for acting chairman's role in my life again,TRUE
124,POLITICS,Bhattarai at a crossroads as he bids to build new party before imminent polls,,Kathmandu Post,2022-08-07,none,Bhattarai at a crossroads as he bids to build new party before imminent polls,TRUE
125,POLITICS,Province 1 Chief Minister Rai reinstates 15 assembly members of his party after they file a no-confidence motion against him,,NepalInsider,2020-12-31,minimal_inversion,Province 1 Chief Minister Rai suspends 15 assembly members of his party after they file a no-confide,Fake
126,POLITICS,Janata Samajbadi Party seeks clarity from Dahal and Oli as they approach it for support,,NepalAlert,2021-02-25,entity_swap,Janata Samajbadi Party seeks clarity from Dahal and Nepal as they approach it for support,Fake
127,POLITICAL,Oli observes parliamentary election in Cambodia,,Setopati,2023-07-23,none,Oli observes parliamentary election in Cambodia,TRUE
128,POLITICAL,Leaders of Deuba faction ask him about Nidhi's candidacy for president,,Setopati,2021-06-20,none,Leaders of Deuba faction ask him about Nidhi's candidacy for president,TRUE
129,POLITICS,"Thirteen months ago, Upendra Yadav had, on behalf of his party, then known as Sanghiya Samajbadi Forum-Nepal, reached a two-point deal with Prime Mini",,Kathmandu Post,2019-07-01,none,"Thirteen months ago, Upendra Yadav had, on behalf of his party, then known as Sanghiya Samajbadi Forum-Nepal, reached a two-point deal with Prime Mini",TRUE
130,POLITICS,PM's address to the nation,,OnlineKhabar,2020-04-08,none,PM's address to the nation,TRUE
131,POLITICAL,Janardan Sharma boycotts Maoist secretariat meeting,,Setopati,2025-11-02,none,Janardan Sharma boycotts Maoist secretariat meeting,TRUE
132,POLITICAL,Vote counting begins in presidential election,,Setopati,2023-03-09,none,Vote counting begins in presidential election,TRUE
133,POLITICS,"Biplav wants to kill me first, but I take pity on him",,OnlineKhabar,2019-03-14,none,"Biplav wants to kill me first, but I take pity on him",TRUE
134,POLITICS,The debate over whether Prime Minister KP Sharma Oli needs to table a motion for the vote of confidence after the Samajbadi Party's withdrawal of supp,,Kathmandu Post,2019-12-27,none,The debate over whether Prime Minister KP Sharma Oli needs to table a motion for the vote of confidence after the Samajbadi Party's withdrawal of supp,TRUE
135,POLITICAL,House of Representatives passes Civil Service Bill with 11 new provisions,,Setopati,2025-06-29,none,House of Representatives passes Civil Service Bill with 11 new provisions,TRUE
136,POLITICAL,Conspiracy to split Maoist bringing ordinance,,YetiNews,2021-08-17,entity_swap,Conspiracy to split UML bringing ordinance,Fake
137,POLITICS,"Constitutional Council should be held above partisan interests, analysts say",,Kathmandu Post,2020-12-13,none,"Constitutional Council should be held above partisan interests, analysts say",TRUE
138,POLITICS,"Paudel demands Nepal dissolve Parliamentary Board, Cetral Executive Committee",,HimalPost,2018-01-15,entity_swap,"Paudel demands Deuba dissolve Parliamentary Board, Cetral Executive Committee",Fake
139,POLITICS,"Deuba, Sitaula boycott Nepali Congress meeting",,NepalPulse,2019-02-26,entity_swap,"Paudel, Sitaula boycott Nepali Congress meeting",Fake
140,POLITICAL,NC amends election directives after resignation of Min Bishwokarma,,Setopati,2021-09-03,none,NC amends election directives after resignation of Min Bishwokarma,TRUE
141,POLITICS,Modi Cabinet's second man Rajnath Singh receives Oli at New Delhi airport,,OnlineKhabar,2018-04-06,none,Modi Cabinet's second man Rajnath Singh receives Oli at New Delhi airport,TRUE
142,POLITICS,NCP secretariat meeting postponed indefinitely,,OnlineKhabar,2020-10-04,none,NCP secretariat meeting postponed indefinitely,TRUE
143,POLITICAL,Judge Shree Krishna Bhattarai resigns after Karki becomes chief justice,,Setopati,2023-06-26,none,Judge Shree Krishna Bhattarai resigns after Karki becomes chief justice,TRUE
144,POLITICS,Explainer: What is Raj Narayan Pathak bribery case all about?,,OnlineKhabar,2019-02-22,none,Explainer: What is Raj Narayan Pathak bribery case all about?,TRUE
145,POLITICAL,"Next steps for Finland, Sweden on NATO membership",,Setopati,2022-05-17,none,"Next steps for Finland, Sweden on NATO membership",TRUE
146,POLITICS,"Conflict set to escalate in ruling party, as Dahal once again ups the ante against Oli",,Kathmandu Post,2020-07-27,none,"Conflict set to escalate in ruling party, as Dahal once again ups the ante against Oli",TRUE
147,POLITICS,"NCP dispute: Oli, Nembang discuss possible solution",,HimalPost,2020-08-06,entity_swap,"NCP dispute: Dahal, Nembang discuss possible solution",Fake
148,POLITICS,"Rastriya Swatantra Party, Kulman Ghising visit Nepali diaspora. Elections in mind",,Kathmandu Post,2025-07-16,none,"Rastriya Swatantra Party, Kulman Ghising visit Nepali diaspora. Elections in mind",TRUE
149,POLITICS,Win-win solution to MaoistP crisis,,HimalayaTribune,2020-02-28,entity_swap,Win-win solution to NCP crisis,Fake
150,POLITICS,Janmat Party plans to hold its maiden general convention in Chitwan in May,,PahariTribune,2025-01-02,entity_swap,Rastriya Swatantra Party plans to hold its maiden general convention in Chitwan in May,Fake
151,POLITICAL,We're going to Sheetal Niwas to make Dahal PM with support of 166 lawmakers,,Setopati,2022-12-25,none,We're going to Sheetal Niwas to make Dahal PM with support of 166 lawmakers,TRUE
152,POLITICS,Dahal brings medical equipment from China on chartered aircraft,,HimalPost,2020-03-29,entity_swap,Nepal brings medical equipment from China on chartered aircraft,Fake
153,POLITICS,Ex-President's cadre meetings become headache for Oli,,Kathmandu Post,2025-06-12,none,Ex-President's cadre meetings become headache for Oli,TRUE
154,POLITICS,"After months of tug-of-war, the ruling Deuba Communist Party on Friday achieved quite a feat, as its secretariat meeting at one stroke appointed chief",,KathmanduExpress,2019-08-17,entity_swap,"After months of tug-of-war, the ruling Nepal Communist Party on Friday achieved quite a feat, as its",Fake
155,POLITICS,"Modi 3.0: All eyes on India's Oli, peripheral policies: SAARC revival, scrapping of Agnipath recruitment scheme possible, but no apparent change in overall Nepal policy.",,NepalAlert,2024-06-07,entity_swap,"Modi 3.0: All eyes on India's Nepal, peripheral policies: SAARC revival, scrapping of Agnipath recru",Fake
156,POLITICAL,Cabinet recommends pardon for Resham Chaudhary,,Setopati,2023-05-28,none,Cabinet recommends pardon for Resham Chaudhary,TRUE
157,POLITICS,Mishra likely to lead re-unified 'Bibeksheel Sajha',,OnlineKhabar,2020-11-30,none,Mishra likely to lead re-unified 'Bibeksheel Sajha',TRUE
158,POLITICAL,"Investigate role of Minister Jwala, Labor Ministry",,Setopati,2024-01-01,none,"Investigate role of Minister Jwala, Labor Ministry",TRUE
159,POLITICAL,Did Rijal go to US on visit visa or not?,,NepalVoice,2025-07-09,entity_swap,Did Lamichhane go to US on visit visa or not?,Fake
160,POLITICAL,Promoter of Pappu Construction Hari Narayan Rauniyar arrested,,Setopati,2023-06-30,none,Promoter of Pappu Construction Hari Narayan Rauniyar arrested,TRUE
161,POLITICAL,Acting president declares emergency amid protests in Sri Lanka,,Setopati,2022-07-18,none,Acting president declares emergency amid protests in Sri Lanka,TRUE
162,POLITICS,Nepal may go on lockdown anytime if need be,,OnlineKhabar,2020-03-18,none,Nepal may go on lockdown anytime if need be,TRUE
163,POLITICS,"Govt has lost moral high ground to continue ruling, says Shekhar Koirala",,OnlineKhabar,2018-11-04,none,"Govt has lost moral high ground to continue ruling, says Shekhar Koirala",TRUE
164,POLITICS,"China denies territorial disputes with Nepal, says Nepal may verify if Beijing encroached on its land",,OnlineKhabar,2020-09-23,none,"China denies territorial disputes with Nepal, says Nepal may verify if Beijing encroached on its land",TRUE
165,POLITICAL,PM Deuba preparing to take confidence vote Sunday itself,,Setopati,2021-07-18,none,PM Deuba preparing to take confidence vote Sunday itself,TRUE
166,POLITICS,Ministers' dispute on temporary provincial capitals mars Cabinet meeting,,OnlineKhabar,2018-01-17,none,Ministers' dispute on temporary provincial capitals mars Cabinet meeting,TRUE
